year,global_temp,abu_dhabi_temp,Global Temperature (10 years Moving Average),Abu Dhabi Temperature (10 years Moving Average)
1843,8.17,26.04,,
1844,7.65,26.26,,
1845,7.85,,,
1846,8.55,,,
1847,8.09,,,
1848,7.98,25.83,,
1849,7.98,26.01,,
1850,7.9,25.69,,
1851,8.18,26.25,,
1852,8.1,,8.045,26.01333333
1853,8.04,,8.032,26.008
1854,8.21,,8.088,25.945
1855,8.11,,8.114,25.945
1856,8,,8.059,25.945
1857,7.76,,8.026,25.945
1858,8.1,,8.038,25.98333333
1859,8.25,,8.065,25.97
1860,7.96,,8.071,26.25
1861,7.85,25.1,8.038,25.1
1862,7.56,25.34,7.984,25.22
1863,8.11,23.62,7.991,24.68666667
1864,7.98,26,7.968,25.015
1865,8.18,26.26,7.975,25.264
1866,8.29,26.09,8.004,25.40166667
1867,8.44,26.44,8.072,25.55
1868,8.25,26.33,8.087,25.6475
1869,8.43,26.51,8.105,25.74333333
1870,8.2,26.24,8.129,25.793
1871,8.12,26.17,8.156,25.9
1872,8.19,26.16,8.219,25.982
1873,8.35,26.42,8.243,26.262
1874,8.43,26.3,8.288,26.292
1875,7.86,26.13,8.256,26.279
1876,8.08,26.19,8.235,26.289
1877,8.54,26.59,8.245,26.304
1878,8.83,26.59,8.303,26.33
1879,8.17,26.09,8.277,26.288
1880,8.12,26.2,8.269,26.284
1881,8.27,26.75,8.284,26.342
1882,8.13,26.05,8.278,26.331
1883,7.98,26.3,8.241,26.319
1884,7.77,26.15,8.175,26.304
1885,7.92,26.1,8.181,26.301
1886,7.95,26.38,8.168,26.32
1887,7.91,26.08,8.105,26.269
1888,8.09,26.3,8.031,26.24
1889,8.32,26.61,8.046,26.292
1890,7.97,26.2,8.031,26.292
1891,8.02,26.43,8.006,26.26
1892,8.07,26.55,8,26.31
1893,8.06,26.36,8.008,26.316
1894,8.16,26.24,8.047,26.325
1895,8.15,25.98,8.07,26.313
1896,8.21,26.36,8.096,26.311
1897,8.29,26.29,8.134,26.332
1898,8.18,25.92,8.143,26.294
1899,8.4,26.57,8.151,26.29
1900,8.5,26.43,8.204,26.313
1901,8.54,26.53,8.256,26.323
1902,8.3,26.81,8.279,26.349
1903,8.22,25.88,8.295,26.301
1904,8.09,26.49,8.288,26.326
1905,8.23,26.3,8.296,26.358
1906,8.38,26.24,8.313,26.346
1907,7.95,26.17,8.279,26.334
1908,8.19,26.34,8.28,26.376
1909,8.18,26.57,8.258,26.376
1910,8.22,25.89,8.23,26.322
1911,8.18,25.62,8.194,26.231
1912,8.17,26.35,8.181,26.185
1913,8.3,26.45,8.189,26.242
1914,8.59,26.56,8.239,26.249
1915,8.59,26.9,8.275,26.309
1916,8.23,25.9,8.26,26.275
1917,8.02,26.04,8.267,26.262
1918,8.13,26.03,8.261,26.231
1919,8.38,26.24,8.281,26.198
1920,8.36,26.2,8.295,26.229
1921,8.57,26.06,8.334,26.273
1922,8.41,26.77,8.358,26.315
1923,8.42,26.32,8.37,26.302
1924,8.51,27.03,8.362,26.349
1925,8.53,26.26,8.356,26.285
1926,8.73,26.65,8.406,26.36
1927,8.52,26.35,8.456,26.391
1928,8.63,26.34,8.506,26.422
1929,8.24,26.6,8.492,26.458
1930,8.63,26.38,8.519,26.476
1931,8.72,26.54,8.534,26.524
1932,8.71,26.23,8.564,26.47
1933,8.34,26.06,8.556,26.444
1934,8.63,26.17,8.568,26.358
1935,8.52,26.44,8.567,26.376
1936,8.55,26.24,8.549,26.335
1937,8.7,26.22,8.567,26.322
